sample_date,product,version,os,arch,extension,downloads,downloads_total
2022-02-01,apple_support,0.10.0,any,src,tar.gz,431,224106
2022-02-01,apple_support,0.11.0,any,src,tar.gz,1462,146587
2022-02-01,apple_support,0.12.0,any,src,tar.gz,0,10
2022-02-01,apple_support,0.12.1,any,src,tar.gz,297,2377
2022-02-01,apple_support,0.6.0,any,src,tar.gz,40,339167
2022-02-01,apple_support,0.7.0,any,src,tar.gz,0,3170
2022-02-01,apple_support,0.7.1,any,src,tar.gz,940,1721627
2022-02-01,apple_support,0.7.2,any,src,tar.gz,386,453670
2022-02-01,apple_support,0.8.0,any,src,tar.gz,127,31787
2022-02-01,apple_support,0.9.0,any,src,tar.gz,4,8423
2022-02-01,apple_support,0.9.1,any,src,tar.gz,318,114504
2022-02-01,apple_support,0.9.2,any,src,tar.gz,163,71795
2022-02-01,bazel,0.1.0,macos,x86_64,sh,0,1080
2022-02-01,bazel,0.1.0,linux,x86_64,sh,0,6198
2022-02-01,bazel,0.1.1,macos,x86_64,sh,0,223
2022-02-01,bazel,0.1.1,linux,x86_64,sh,0,977
2022-02-01,bazel,0.1.1,macos,x86_64,sh,0,2171
2022-02-01,bazel,0.1.1,linux,x86_64,sh,0,10935
2022-02-01,bazel,0.1.2,macos,x86_64,sh,0,1584
2022-02-01,bazel,0.1.2,linux,x86_64,sh,0,6445
2022-02-01,bazel,0.1.2,macos,x86_64,sh,0,97
2022-02-01,bazel,0.1.2,linux,x86_64,sh,0,337
2022-02-01,bazel,0.1.2,linux,x86_64,deb,0,115
2022-02-01,bazel,0.1.2,linux,x86_64,deb,0,438
2022-02-01,bazel,0.1.3,macos,x86_64,sh,0,389
2022-02-01,bazel,0.1.3,linux,x86_64,sh,0,1663
2022-02-01,bazel,0.1.3,macos,x86_64,sh,0,45
2022-02-01,bazel,0.1.3,linux,x86_64,sh,0,231
2022-02-01,bazel,0.1.3,linux,x86_64,deb,0,63
2022-02-01,bazel,0.1.3,linux,x86_64,deb,0,123
2022-02-01,bazel,0.1.4,macos,x86_64,sh,0,948
2022-02-01,bazel,0.1.4,linux,x86_64,sh,0,5796
2022-02-01,bazel,0.1.4,macos,x86_64,sh,0,64
2022-02-01,bazel,0.1.4,linux,x86_64,sh,0,467
2022-02-01,bazel,0.1.4,linux,x86_64,deb,0,130
2022-02-01,bazel,0.1.4,linux,x86_64,deb,0,520
2022-02-01,bazel,0.1.5,macos,x86_64,sh,0,689
2022-02-01,bazel,0.1.5,linux,x86_64,sh,0,3970
2022-02-01,bazel,0.1.5,macos,x86_64,sh,0,50
2022-02-01,bazel,0.1.5,linux,x86_64,sh,0,373
2022-02-01,bazel,0.1.5,linux,x86_64,deb,0,70
2022-02-01,bazel,0.1.5,linux,x86_64,deb,0,263
2022-02-01,bazel,0.10.0,any,,zip,1,22307
2022-02-01,bazel,0.10.0,macos,x86_64,sh,0,19171
2022-02-01,bazel,0.10.0,linux,x86_64,sh,0,104985
2022-02-01,bazel,0.10.0,windows,x86_64,exe,0,2000
2022-02-01,bazel,0.10.0,windows,x86_64,zip,0,1989
2022-02-01,bazel,0.10.0,macos,x86_64,sh,0,637
2022-02-01,bazel,0.10.0,linux,x86_64,sh,0,2554
2022-02-01,bazel,0.10.0,windows,x86_64,exe,0,172
2022-02-01,bazel,0.10.0,windows,x86_64,zip,0,600
2022-02-01,bazel,0.10.0,linux,x86_64,deb,0,2577
2022-02-01,bazel,0.10.1,any,,zip,0,3174
2022-02-01,bazel,0.10.1,macos,x86_64,sh,0,4138
2022-02-01,bazel,0.10.1,linux,x86_64,sh,0,36417
2022-02-01,bazel,0.10.1,windows,x86_64,exe,0,1245
2022-02-01,bazel,0.10.1,windows,x86_64,zip,0,250
2022-02-01,bazel,0.10.1,macos,x86_64,sh,0,379
2022-02-01,bazel,0.10.1,linux,x86_64,sh,0,730
2022-02-01,bazel,0.10.1,windows,x86_64,exe,0,680
2022-02-01,bazel,0.10.1,windows,x86_64,zip,0,44
2022-02-01,bazel,0.10.1,linux,x86_64,deb,0,11841
2022-02-01,bazel,0.11.0,any,,zip,0,5040
2022-02-01,bazel,0.11.0,macos,x86_64,sh,0,40407
2022-02-01,bazel,0.11.0,linux,x86_64,sh,0,192911
2022-02-01,bazel,0.11.0,windows,x86_64,exe,0,1511
2022-02-01,bazel,0.11.0,windows,x86_64,zip,0,2635
2022-02-01,bazel,0.11.0,macos,x86_64,sh,0,335
2022-02-01,bazel,0.11.0,linux,x86_64,sh,0,3063
2022-02-01,bazel,0.11.0,windows,x86_64,exe,0,128
2022-02-01,bazel,0.11.0,windows,x86_64,zip,0,67
2022-02-01,bazel,0.11.0,linux,x86_64,deb,0,15597
2022-02-01,bazel,0.11.1,linux,x86_64,deb,1,15009
2022-02-01,bazel,0.11.1,any,,zip,0,10082
2022-02-01,bazel,0.11.1,macos,x86_64,sh,0,3444
2022-02-01,bazel,0.11.1,linux,x86_64,sh,0,28123
2022-02-01,bazel,0.11.1,windows,x86_64,exe,0,3449
2022-02-01,bazel,0.11.1,windows,x86_64,zip,0,9566
2022-02-01,bazel,0.11.1,macos,x86_64,sh,0,479
2022-02-01,bazel,0.11.1,linux,x86_64,sh,0,3945
2022-02-01,bazel,0.11.1,windows,x86_64,exe,0,663
2022-02-01,bazel,0.11.1,windows,x86_64,zip,0,182
2022-02-01,bazel,0.12.0,windows,x86_64,zip,0,195
2022-02-01,bazel,0.12.0,linux,x86_64,deb,0,5890
2022-02-01,bazel,0.12.0,macos,x86_64,,0,1256
2022-02-01,bazel,0.12.0,any,,zip,0,6983
2022-02-01,bazel,0.12.0,macos,x86_64,sh,0,3198
2022-02-01,bazel,0.12.0,linux,x86_64,sh,5,33120
2022-02-01,bazel,0.12.0,linux,x86_64,,0,1420
2022-02-01,bazel,0.12.0,windows,x86_64,exe,0,2819
2022-02-01,bazel,0.12.0,windows,x86_64,zip,0,3531
2022-02-01,bazel,0.12.0,macos,x86_64,sh,0,288
2022-02-01,bazel,0.12.0,linux,x86_64,sh,0,5856
2022-02-01,bazel,0.12.0,windows,x86_64,exe,0,193
2022-02-01,bazel,0.13.0,macos,x86_64,,0,1687
2022-02-01,bazel,0.13.0,any,,zip,0,7503
2022-02-01,bazel,0.13.0,macos,x86_64,sh,0,9230
2022-02-01,bazel,0.13.0,linux,x86_64,sh,0,38786
2022-02-01,bazel,0.13.0,linux,x86_64,,0,1950
2022-02-01,bazel,0.13.0,windows,x86_64,exe,0,2548
2022-02-01,bazel,0.13.0,windows,x86_64,zip,0,4784
2022-02-01,bazel,0.13.0,macos,x86_64,sh,0,975
2022-02-01,bazel,0.13.0,linux,x86_64,sh,0,5752
2022-02-01,bazel,0.13.0,windows,x86_64,exe,0,488
2022-02-01,bazel,0.13.0,windows,x86_64,zip,0,804
2022-02-01,bazel,0.13.0,linux,x86_64,deb,0,2769
2022-02-01,bazel,0.13.1,macos,x86_64,,0,622
2022-02-01,bazel,0.13.1,any,,zip,0,1853
2022-02-01,bazel,0.13.1,macos,x86_64,sh,0,2034
2022-02-01,bazel,0.13.1,linux,x86_64,sh,0,13472
2022-02-01,bazel,0.13.1,linux,x86_64,,0,815
2022-02-01,bazel,0.13.1,windows,x86_64,exe,0,1062
2022-02-01,bazel,0.13.1,windows,x86_64,zip,0,212
2022-02-01,bazel,0.13.1,linux,x86_64,deb,0,3954
2022-02-01,bazel,0.14.0,macos,x86_64,,0,732
2022-02-01,bazel,0.14.0,any,,zip,0,1484
2022-02-01,bazel,0.14.0,macos,x86_64,sh,0,2580
2022-02-01,bazel,0.14.0,linux,x86_64,sh,1,27955
2022-02-01,bazel,0.14.0,linux,x86_64,,0,736
2022-02-01,bazel,0.14.0,windows,x86_64,exe,0,1499
2022-02-01,bazel,0.14.0,windows,x86_64,zip,0,3382
2022-02-01,bazel,0.14.0,linux,x86_64,deb,0,838
2022-02-01,bazel,0.14.1,macos,x86_64,,0,1702
2022-02-01,bazel,0.14.1,any,,zip,0,3433
2022-02-01,bazel,0.14.1,macos,x86_64,sh,0,12047
2022-02-01,bazel,0.14.1,linux,x86_64,sh,0,122976
2022-02-01,bazel,0.14.1,linux,x86_64,,0,7240
2022-02-01,bazel,0.14.1,windows,x86_64,exe,0,6266
2022-02-01,bazel,0.14.1,windows,x86_64,zip,0,461
2022-02-01,bazel,0.14.1,linux,x86_64,deb,0,11910
2022-02-01,bazel,0.15.0,macos,x86_64,,0,1723
2022-02-01,bazel,0.15.0,any,,zip,0,12360
2022-02-01,bazel,0.15.0,macos,x86_64,sh,0,36618
2022-02-01,bazel,0.15.0,linux,x86_64,sh,0,278151
2022-02-01,bazel,0.15.0,linux,x86_64,,0,3132
2022-02-01,bazel,0.15.0,windows,x86_64,exe,0,31327
2022-02-01,bazel,0.15.0,windows,x86_64,zip,0,8669
2022-02-01,bazel,0.15.0,linux,x86_64,deb,0,9747
2022-02-01,bazel,0.15.1,macos,x86_64,,0,126
2022-02-01,bazel,0.15.1,any,,zip,0,2236
2022-02-01,bazel,0.15.1,macos,x86_64,sh,0,291
2022-02-01,bazel,0.15.1,linux,x86_64,sh,0,2259
2022-02-01,bazel,0.15.1,linux,x86_64,,0,209
2022-02-01,bazel,0.15.1,windows,x86_64,exe,0,353
2022-02-01,bazel,0.15.1,windows,x86_64,zip,0,573
2022-02-01,bazel,0.15.1,linux,x86_64,deb,0,308
2022-02-01,bazel,0.15.2,macos,x86_64,,0,1563
2022-02-01,bazel,0.15.2,any,,zip,0,9041
2022-02-01,bazel,0.15.2,macos,x86_64,sh,0,5509
2022-02-01,bazel,0.15.2,linux,x86_64,sh,11,59026
2022-02-01,bazel,0.15.2,linux,x86_64,,0,1919
2022-02-01,bazel,0.15.2,windows,x86_64,exe,0,3125
2022-02-01,bazel,0.15.2,windows,x86_64,zip,0,2400
2022-02-01,bazel,0.15.2,linux,x86_64,deb,3,20231
2022-02-01,bazel,0.16.0,macos,x86_64,,0,963
2022-02-01,bazel,0.16.0,any,,zip,0,3610
2022-02-01,bazel,0.16.0,macos,x86_64,sh,0,3083
2022-02-01,bazel,0.16.0,linux,x86_64,sh,0,46777
2022-02-01,bazel,0.16.0,linux,x86_64,,0,1072
2022-02-01,bazel,0.16.0,windows,x86_64,exe,0,1706
2022-02-01,bazel,0.16.0,windows,x86_64,zip,0,1760
2022-02-01,bazel,0.16.0,linux,x86_64,deb,0,7710
2022-02-01,bazel,0.16.1,macos,x86_64,,0,2830
2022-02-01,bazel,0.16.1,any,,zip,0,4907
2022-02-01,bazel,0.16.1,macos,x86_64,sh,0,27200
2022-02-01,bazel,0.16.1,linux,x86_64,sh,0,401227
2022-02-01,bazel,0.16.1,linux,x86_64,,0,2724
2022-02-01,bazel,0.16.1,windows,x86_64,exe,0,4454
2022-02-01,bazel,0.16.1,windows,x86_64,zip,0,8706
2022-02-01,bazel,0.16.1,linux,x86_64,deb,0,7539
2022-02-01,bazel,0.17.1,macos,x86_64,,0,663
2022-02-01,bazel,0.17.1,any,,zip,0,7898
2022-02-01,bazel,0.17.1,macos,x86_64,sh,0,20379
2022-02-01,bazel,0.17.1,linux,x86_64,sh,0,13657
2022-02-01,bazel,0.17.1,linux,x86_64,,0,57632
2022-02-01,bazel,0.17.1,windows,x86_64,exe,0,1692
2022-02-01,bazel,0.17.1,windows,x86_64,zip,0,1593
2022-02-01,bazel,0.17.1,linux,x86_64,deb,0,57039
2022-02-01,bazel,0.17.2,macos,x86_64,,0,2677
2022-02-01,bazel,0.17.2,any,,zip,1,5308
2022-02-01,bazel,0.17.2,macos,x86_64,sh,0,4076
2022-02-01,bazel,0.17.2,linux,x86_64,sh,0,63303
2022-02-01,bazel,0.17.2,linux,x86_64,,0,2555
2022-02-01,bazel,0.17.2,windows,x86_64,exe,0,10408
2022-02-01,bazel,0.17.2,windows,x86_64,zip,0,4415
2022-02-01,bazel,0.17.2,linux,x86_64,deb,0,4933
2022-02-01,bazel,0.18.0,macos,x86_64,,0,2296
2022-02-01,bazel,0.18.0,any,,zip,0,10277
2022-02-01,bazel,0.18.0,macos,x86_64,sh,0,5000
2022-02-01,bazel,0.18.0,linux,x86_64,sh,0,77454
2022-02-01,bazel,0.18.0,linux,x86_64,,0,2627
2022-02-01,bazel,0.18.0,windows,x86_64,exe,0,13213
2022-02-01,bazel,0.18.0,windows,x86_64,zip,0,4086
2022-02-01,bazel,0.18.0,linux,x86_64,deb,0,4958
2022-02-01,bazel,0.18.1,macos,x86_64,,0,1012
2022-02-01,bazel,0.18.1,any,,zip,0,3855
2022-02-01,bazel,0.18.1,macos,x86_64,sh,0,1999
2022-02-01,bazel,0.18.1,linux,x86_64,sh,17,47820
2022-02-01,bazel,0.18.1,linux,x86_64,,0,2287
2022-02-01,bazel,0.18.1,windows,x86_64,exe,0,3178
2022-02-01,bazel,0.18.1,windows,x86_64,zip,0,10138
2022-02-01,bazel,0.18.1,linux,x86_64,deb,0,47308
2022-02-01,bazel,0.19.0,macos,x86_64,,1,2195
2022-02-01,bazel,0.19.0,any,,zip,0,3818
2022-02-01,bazel,0.19.0,macos,x86_64,sh,0,2391
2022-02-01,bazel,0.19.0,linux,x86_64,sh,14,28870
2022-02-01,bazel,0.19.0,linux,x86_64,,2,23413
2022-02-01,bazel,0.19.0,windows,x86_64,exe,1,4535
2022-02-01,bazel,0.19.0,windows,x86_64,zip,0,3012
2022-02-01,bazel,0.19.0,linux,x86_64,deb,0,31308
2022-02-01,bazel,0.19.1,macos,x86_64,,0,1023
2022-02-01,bazel,0.19.1,any,,zip,0,1218
2022-02-01,bazel,0.19.1,macos,x86_64,sh,0,2915
2022-02-01,bazel,0.19.1,linux,x86_64,sh,0,13131
2022-02-01,bazel,0.19.1,linux,x86_64,,0,1008
2022-02-01,bazel,0.19.1,windows,x86_64,exe,0,3148
2022-02-01,bazel,0.19.1,windows,x86_64,zip,0,2045
2022-02-01,bazel,0.19.1,linux,x86_64,deb,0,1942
2022-02-01,bazel,0.19.2,macos,x86_64,,0,1852
2022-02-01,bazel,0.19.2,any,,zip,1,8415
2022-02-01,bazel,0.19.2,macos,x86_64,sh,0,24982
2022-02-01,bazel,0.19.2,linux,x86_64,sh,4,362313
2022-02-01,bazel,0.19.2,linux,x86_64,,0,4744
2022-02-01,bazel,0.19.2,windows,x86_64,exe,0,6516
2022-02-01,bazel,0.19.2,windows,x86_64,zip,0,3492
2022-02-01,bazel,0.19.2,linux,x86_64,deb,2,10177
2022-02-01,bazel,0.2.0,macos,x86_64,sh,0,2537
2022-02-01,bazel,0.2.0,linux,x86_64,sh,0,11365
2022-02-01,bazel,0.2.0,macos,x86_64,sh,0,116
2022-02-01,bazel,0.2.0,linux,x86_64,sh,0,1376
2022-02-01,bazel,0.2.0,linux,x86_64,deb,0,188
2022-02-01,bazel,0.2.0,linux,x86_64,deb,0,1051
2022-02-01,bazel,0.2.1,macos,x86_64,sh,0,2277
2022-02-01,bazel,0.2.1,linux,x86_64,sh,0,10195
2022-02-01,bazel,0.2.1,macos,x86_64,sh,0,63
2022-02-01,bazel,0.2.1,linux,x86_64,sh,0,1329
2022-02-01,bazel,0.2.1,linux,x86_64,deb,0,111
2022-02-01,bazel,0.2.1,linux,x86_64,deb,0,570
2022-02-01,bazel,0.2.2,macos,x86_64,sh,0,1916
2022-02-01,bazel,0.2.2,linux,x86_64,sh,0,6010
2022-02-01,bazel,0.2.2,macos,x86_64,sh,0,153
2022-02-01,bazel,0.2.2,linux,x86_64,sh,0,333
2022-02-01,bazel,0.2.2,linux,x86_64,deb,0,163
2022-02-01,bazel,0.2.2,linux,x86_64,deb,0,1140
2022-02-01,bazel,0.2.2b,macos,x86_64,sh,0,3132
2022-02-01,bazel,0.2.2b,linux,x86_64,sh,0,15409
2022-02-01,bazel,0.2.2b,macos,x86_64,sh,0,192
2022-02-01,bazel,0.2.2b,linux,x86_64,sh,0,511
2022-02-01,bazel,0.2.2b,linux,x86_64,deb,0,337
2022-02-01,bazel,0.2.2b,linux,x86_64,deb,0,2207
2022-02-01,bazel,0.2.3,macos,x86_64,sh,0,1585
2022-02-01,bazel,0.2.3,linux,x86_64,sh,0,10751
2022-02-01,bazel,0.2.3,macos,x86_64,sh,0,120
2022-02-01,bazel,0.2.3,linux,x86_64,sh,0,823
2022-02-01,bazel,0.2.3,linux,x86_64,deb,0,150
2022-02-01,bazel,0.2.3,linux,x86_64,deb,0,5559
2022-02-01,bazel,0.20.0,macos,x86_64,,0,3280
2022-02-01,bazel,0.20.0,any,,zip,0,6457
2022-02-01,bazel,0.20.0,macos,x86_64,sh,0,15423
2022-02-01,bazel,0.20.0,linux,x86_64,sh,4,170329
2022-02-01,bazel,0.20.0,linux,x86_64,,0,34493
2022-02-01,bazel,0.20.0,windows,x86_64,exe,0,28421
2022-02-01,bazel,0.20.0,windows,x86_64,zip,0,9424
2022-02-01,bazel,0.20.0,linux,x86_64,deb,0,3982
2022-02-01,bazel,0.21.0,macos,x86_64,,0,4740
2022-02-01,bazel,0.21.0,any,,zip,2,23773
2022-02-01,bazel,0.21.0,macos,x86_64,sh,0,21267
2022-02-01,bazel,0.21.0,linux,x86_64,sh,3,385881
2022-02-01,bazel,0.21.0,linux,x86_64,,0,30513
2022-02-01,bazel,0.21.0,windows,x86_64,exe,0,15394
2022-02-01,bazel,0.21.0,windows,x86_64,zip,0,8714
2022-02-01,bazel,0.21.0,linux,x86_64,deb,0,180005
2022-02-01,bazel,0.22.0,macos,x86_64,,0,4191
2022-02-01,bazel,0.22.0,any,,zip,0,5957
2022-02-01,bazel,0.22.0,macos,x86_64,sh,0,9377
2022-02-01,bazel,0.22.0,linux,x86_64,sh,3,111831
2022-02-01,bazel,0.22.0,linux,x86_64,,0,83731
2022-02-01,bazel,0.22.0,windows,x86_64,exe,0,8525
2022-02-01,bazel,0.22.0,windows,x86_64,zip,0,4908
2022-02-01,bazel,0.22.0,linux,x86_64,deb,0,315328
2022-02-01,bazel,0.23.0,macos,x86_64,,0,872
2022-02-01,bazel,0.23.0,any,,zip,0,1194
2022-02-01,bazel,0.23.0,macos,x86_64,sh,0,2426
2022-02-01,bazel,0.23.0,linux,x86_64,sh,0,38833
2022-02-01,bazel,0.23.0,linux,x86_64,,0,1337
2022-02-01,bazel,0.23.0,windows,x86_64,exe,0,6370
2022-02-01,bazel,0.23.0,windows,x86_64,zip,0,3026
2022-02-01,bazel,0.23.0,linux,x86_64,deb,0,8391
2022-02-01,bazel,0.23.1,macos,x86_64,,0,1687
2022-02-01,bazel,0.23.1,any,,zip,0,2156
2022-02-01,bazel,0.23.1,macos,x86_64,sh,0,2512
2022-02-01,bazel,0.23.1,linux,x86_64,sh,0,15425
2022-02-01,bazel,0.23.1,linux,x86_64,,0,77113
2022-02-01,bazel,0.23.1,windows,x86_64,exe,0,5842
2022-02-01,bazel,0.23.1,windows,x86_64,zip,0,2342
2022-02-01,bazel,0.23.1,linux,x86_64,deb,0,3824
2022-02-01,bazel,0.23.2,macos,x86_64,,0,3513
2022-02-01,bazel,0.23.2,any,,zip,0,3070
2022-02-01,bazel,0.23.2,macos,x86_64,sh,0,9848
2022-02-01,bazel,0.23.2,linux,x86_64,sh,0,263026
2022-02-01,bazel,0.23.2,linux,x86_64,,0,72556
2022-02-01,bazel,0.23.2,windows,x86_64,exe,0,9340
2022-02-01,bazel,0.23.2,windows,x86_64,zip,0,11217
2022-02-01,bazel,0.23.2,linux,x86_64,deb,0,33898
2022-02-01,bazel,0.24.0,macos,x86_64,,0,1264
2022-02-01,bazel,0.24.0,any,,zip,0,1777
2022-02-01,bazel,0.24.0,macos,x86_64,sh,0,4442
2022-02-01,bazel,0.24.0,linux,x86_64,sh,1,36433
2022-02-01,bazel,0.24.0,linux,x86_64,,0,29219
2022-02-01,bazel,0.24.0,windows,x86_64,exe,0,3114
2022-02-01,bazel,0.24.0,windows,x86_64,zip,0,2133
2022-02-01,bazel,0.24.0,linux,x86_64,deb,0,2579
2022-02-01,bazel,0.24.1,macos,x86_64,sh,0,93631
2022-02-01,bazel,0.24.1,linux,x86_64,sh,14,996783
2022-02-01,bazel,0.24.1,linux,x86_64,,0,27098
2022-02-01,bazel,0.24.1,windows,x86_64,exe,1,55810
2022-02-01,bazel,0.24.1,windows,x86_64,zip,0,12432
2022-02-01,bazel,0.24.1,linux,x86_64,deb,196,226476
2022-02-01,bazel,0.24.1,macos,x86_64,,0,3260
2022-02-01,bazel,0.24.1,any,,zip,12,25834
2022-02-01,bazel,0.25.0,macos,x86_64,,0,1154
2022-02-01,bazel,0.25.0,any,,zip,0,26432
2022-02-01,bazel,0.25.0,macos,x86_64,sh,0,6202
2022-02-01,bazel,0.25.0,linux,x86_64,sh,0,164397
2022-02-01,bazel,0.25.0,linux,x86_64,,0,44528
2022-02-01,bazel,0.25.0,windows,x86_64,exe,0,2321
2022-02-01,bazel,0.25.0,windows,x86_64,zip,0,1883
2022-02-01,bazel,0.25.0,linux,x86_64,deb,0,39597
2022-02-01,bazel,0.25.1,macos,x86_64,,0,391
2022-02-01,bazel,0.25.1,any,,zip,0,1037
2022-02-01,bazel,0.25.1,macos,x86_64,sh,0,1955
2022-02-01,bazel,0.25.1,linux,x86_64,sh,0,8294
2022-02-01,bazel,0.25.1,linux,x86_64,,0,584
2022-02-01,bazel,0.25.1,windows,x86_64,exe,0,1230
2022-02-01,bazel,0.25.1,windows,x86_64,zip,0,2917
2022-02-01,bazel,0.25.1,linux,x86_64,deb,1,9569
2022-02-01,bazel,0.25.2,macos,x86_64,,0,1362
2022-02-01,bazel,0.25.2,any,,zip,0,14230
2022-02-01,bazel,0.25.2,macos,x86_64,sh,0,4937
2022-02-01,bazel,0.25.2,linux,x86_64,sh,2,54809
2022-02-01,bazel,0.25.2,linux,x86_64,,0,27739
2022-02-01,bazel,0.25.2,windows,x86_64,exe,0,6261
2022-02-01,bazel,0.25.2,windows,x86_64,zip,0,4441
2022-02-01,bazel,0.25.2,linux,x86_64,deb,0,9531
2022-02-01,bazel,0.25.3,macos,x86_64,,0,421
2022-02-01,bazel,0.25.3,any,,zip,0,1507
2022-02-01,bazel,0.25.3,macos,x86_64,sh,0,3801
2022-02-01,bazel,0.25.3,linux,x86_64,sh,4,27536
2022-02-01,bazel,0.25.3,linux,x86_64,,0,3211
2022-02-01,bazel,0.25.3,windows,x86_64,exe,0,2188
2022-02-01,bazel,0.25.3,windows,x86_64,zip,0,599
2022-02-01,bazel,0.25.3,linux,x86_64,deb,0,1170
2022-02-01,bazel,0.26.0,macos,x86_64,,0,7924
2022-02-01,bazel,0.26.0,any,,zip,0,2464
2022-02-01,bazel,0.26.0,macos,x86_64,sh,1,4307
2022-02-01,bazel,0.26.0,linux,x86_64,sh,2,46273
2022-02-01,bazel,0.26.0,linux,x86_64,,0,62383
2022-02-01,bazel,0.26.0,windows,x86_64,exe,0,3349
2022-02-01,bazel,0.26.0,windows,x86_64,zip,0,9260
2022-02-01,bazel,0.26.0,linux,x86_64,deb,0,17456
2022-02-01,bazel,0.26.1,macos,x86_64,,0,2849
2022-02-01,bazel,0.26.1,any,,zip,15,17266
2022-02-01,bazel,0.26.1,macos,x86_64,sh,0,57987
2022-02-01,bazel,0.26.1,linux,x86_64,sh,17,467668
2022-02-01,bazel,0.26.1,linux,x86_64,,2,40566
2022-02-01,bazel,0.26.1,windows,x86_64,exe,0,26615
2022-02-01,bazel,0.26.1,windows,x86_64,zip,0,1800
2022-02-01,bazel,0.26.1,linux,x86_64,deb,0,38221
2022-02-01,bazel,0.27.0,macos,x86_64,,0,1642
2022-02-01,bazel,0.27.0,any,,zip,0,2247
2022-02-01,bazel,0.27.0,macos,x86_64,sh,0,1888
2022-02-01,bazel,0.27.0,linux,x86_64,sh,0,40538
2022-02-01,bazel,0.27.0,linux,x86_64,,0,41023
2022-02-01,bazel,0.27.0,windows,x86_64,exe,0,2459
2022-02-01,bazel,0.27.0,windows,x86_64,zip,0,2389
2022-02-01,bazel,0.27.0,linux,x86_64,deb,0,216956
2022-02-01,bazel,0.27.1,macos,x86_64,,0,699
2022-02-01,bazel,0.27.1,any,,zip,0,2427
2022-02-01,bazel,0.27.1,macos,x86_64,sh,0,1056
2022-02-01,bazel,0.27.1,linux,x86_64,sh,2,27490
2022-02-01,bazel,0.27.1,linux,x86_64,,0,14196
2022-02-01,bazel,0.27.1,windows,x86_64,exe,0,2904
2022-02-01,bazel,0.27.1,windows,x86_64,zip,0,1530
2022-02-01,bazel,0.27.1,linux,x86_64,deb,1,2926
2022-02-01,bazel,0.27.2,macos,x86_64,,0,560
2022-02-01,bazel,0.27.2,any,,zip,0,1490
2022-02-01,bazel,0.27.2,macos,x86_64,sh,0,680
2022-02-01,bazel,0.27.2,linux,x86_64,sh,28,20273
2022-02-01,bazel,0.27.2,linux,x86_64,,0,8905
2022-02-01,bazel,0.27.2,windows,x86_64,exe,0,2928
2022-02-01,bazel,0.27.2,windows,x86_64,zip,0,959
2022-02-01,bazel,0.27.2,linux,x86_64,deb,0,1113
2022-02-01,bazel,0.28.0,macos,x86_64,,0,7310
2022-02-01,bazel,0.28.0,any,,zip,0,1315
2022-02-01,bazel,0.28.0,macos,x86_64,sh,0,2607
2022-02-01,bazel,0.28.0,linux,x86_64,sh,3,52656
2022-02-01,bazel,0.28.0,linux,x86_64,,0,100960
2022-02-01,bazel,0.28.0,windows,x86_64,exe,0,2492
