apple_support.0.7.0.tar.gz|apple_support|0.7.0|src|any|tar.gz|standalone|True|{}
bazel-0.10.0-dist.zip|bazel|0.10.0||any|zip|standalone|True|{}
bazel-0.10.0-installer-darwin-x86_64.sh|bazel|0.10.0|x86_64|macos|sh|installer|True|{}
bazel-0.10.0-installer-linux-x86_64.sh|bazel|0.10.0|x86_64|linux|sh|installer|True|{}
bazel_0.10.0-linux-x86_64.deb|bazel|0.10.0|x86_64|linux|deb|standalone|True|{}
bazel-0.10.0-windows-x86_64.exe|bazel|0.10.0|x86_64|windows|exe|standalone|True|{}
bazel-0.10.0-windows-x86_64.zip|bazel|0.10.0|x86_64|windows|zip|standalone|True|{}
bazel-0.10.0-without-jdk-installer-darwin-x86_64.sh|bazel|0.10.0|x86_64|macos|sh|installer|True|{}
bazel-0.10.0-without-jdk-installer-linux-x86_64.sh|bazel|0.10.0|x86_64|linux|sh|installer|True|{}
bazel-0.10.0-without-jdk-windows-x86_64.exe|bazel|0.10.0|x86_64|windows|exe|standalone|True|{}
bazel-0.10.0-without-jdk-windows-x86_64.zip|bazel|0.10.0|x86_64|windows|zip|standalone|True|{}
bazel-0.1.0-installer-darwin-x86_64.sh|bazel|0.1.0|x86_64|macos|sh|installer|True|{}
bazel-0.1.0-installer-linux-x86_64.sh|bazel|0.1.0|x86_64|linux|sh|installer|True|{}
bazel-0.11.0-dist.zip|bazel|0.11.0||any|zip|standalone|True|{}
bazel-0.11.0-installer-darwin-x86_64.sh|bazel|0.11.0|x86_64|macos|sh|installer|True|{}
bazel-0.11.0-installer-linux-x86_64.sh|bazel|0.11.0|x86_64|linux|sh|installer|True|{}
bazel_0.11.0-linux-x86_64.deb|bazel|0.11.0|x86_64|linux|deb|standalone|True|{}
bazel-0.11.0-windows-x86_64.exe|bazel|0.11.0|x86_64|windows|exe|standalone|True|{}
bazel-0.11.0-windows-x86_64.zip|bazel|0.11.0|x86_64|windows|zip|standalone|True|{}
bazel-0.11.0-without-jdk-installer-darwin-x86_64.sh|bazel|0.11.0|x86_64|macos|sh|installer|True|{}
bazel-0.11.0-without-jdk-installer-linux-x86_64.sh|bazel|0.11.0|x86_64|linux|sh|installer|True|{}
bazel-0.11.0-without-jdk-windows-x86_64.exe|bazel|0.11.0|x86_64|windows|exe|standalone|True|{}
bazel-0.11.0-without-jdk-windows-x86_64.zip|bazel|0.11.0|x86_64|windows|zip|standalone|True|{}
bazel-0.11.1-dist.zip|bazel|0.11.1||any|zip|standalone|True|{}
bazel-0.11.1-installer-darwin-x86_64.sh|bazel|0.11.1|x86_64|macos|sh|installer|True|{}
bazel-0.11.1-installer-linux-x86_64.sh|bazel|0.11.1|x86_64|linux|sh|installer|True|{}
bazel_0.11.1-linux-x86_64.deb|bazel|0.11.1|x86_64|linux|deb|standalone|True|{}
bazel-0.11.1-windows-x86_64.exe|bazel|0.11.1|x86_64|windows|exe|standalone|True|{}
